{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 750, 'n_target': 50, 'classical': 0.1625, 'labeled': 0.0225, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.015, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 750, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.0175, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 750, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.0075, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'classical': 0.2025, 'labeled': 0.02, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 750, 'n_target': 50, 'classical': 0.1725, 'labeled': 0.0125, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.195, 'labeled': 0.01, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 750, 'n_target': 50, 'classical': 0.165, 'labeled': 0.0225, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0033, 'n_source': 750, 'n_target': 50, 'classical': 0.155, 'labeled': 0.02, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0035, 'n_source': 750, 'n_target': 50, 'classical': 0.16, 'labeled': 0.02, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.145, 'labeled': 0.01, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'classical': 0.185, 'labeled': 0.02, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.1825, 'labeled': 0.015, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 750, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.02, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'classical': 0.14, 'labeled': 0.0175, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 750, 'n_target': 50, 'classical': 0.2, 'labeled': 0.025, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0028, 'n_source': 750, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.015, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'classical': 0.16, 'labeled': 0.01, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 750, 'n_target': 50, 'classical': 0.155, 'labeled': 0.0075, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 750, 'n_target': 50, 'classical': 0.1825, 'labeled': 0.025, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 750, 'n_target': 50, 'classical': 0.2125, 'labeled': 0.02, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 750, 'n_target': 50, 'classical': 0.155, 'labeled': 0.0225, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0057, 'n_source': 750, 'n_target': 50, 'classical': 0.21, 'labeled': 0.0325, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 750, 'n_target': 50, 'classical': 0.1675, 'labeled': 0.005, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.185, 'labeled': 0.015, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 750, 'n_target': 50, 'classical': 0.1175, 'labeled': 0.005, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0035, 'n_source': 750, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.005, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 750, 'n_target': 50, 'classical': 0.2375, 'labeled': 0.02, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 750, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.0125, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 750, 'n_target': 50, 'classical': 0.2025, 'labeled': 0.0175, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 750, 'n_target': 50, 'classical': 0.2225, 'labeled': 0.0175, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 750, 'n_target': 50, 'classical': 0.15, 'labeled': 0.01, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0056, 'n_source': 750, 'n_target': 50, 'classical': 0.1625, 'labeled': 0.0175, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 750, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.02, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 750, 'n_target': 50, 'classical': 0.2425, 'labeled': 0.025, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 750, 'n_target': 50, 'classical': 0.1525, 'labeled': 0.015, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 750, 'n_target': 50, 'classical': 0.155, 'labeled': 0.0125, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 750, 'n_target': 50, 'classical': 0.185, 'labeled': 0.02, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 750, 'n_target': 50, 'classical': 0.185, 'labeled': 0.02, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.006, 'n_source': 750, 'n_target': 50, 'classical': 0.2125, 'labeled': 0.015, 'iter': 17}
