{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0198, 'n_source': 25, 'n_target': 100, 'lipton': 0.53, 'oracle': 0.22, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 25, 'n_target': 100, 'lipton': 0.56, 'oracle': 0.22, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 25, 'n_target': 100, 'lipton': 0.63, 'oracle': 0.15, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 25, 'n_target': 100, 'lipton': 0.59, 'oracle': 0.19, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 100, 'n_target': 100, 'lipton': 0.42, 'oracle': 0.18, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 25, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0178, 'n_source': 100, 'n_target': 100, 'lipton': 0.45, 'oracle': 0.13, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0214, 'n_source': 100, 'n_target': 100, 'lipton': 0.49, 'oracle': 0.1, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 100, 'n_target': 100, 'lipton': 0.44, 'oracle': 0.15, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 100, 'n_target': 100, 'lipton': 0.18, 'oracle': 0.18, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 100, 'n_target': 100, 'lipton': 0.59, 'oracle': 0.12, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 100, 'n_target': 100, 'lipton': 0.36, 'oracle': 0.18, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 100, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 100, 'n_target': 100, 'lipton': 0.58, 'oracle': 0.09, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 100, 'n_target': 100, 'lipton': 0.16, 'oracle': 0.16, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.021, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 100, 'n_target': 100, 'lipton': 0.41, 'oracle': 0.16, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0226, 'n_source': 100, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.2, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 100, 'n_target': 100, 'lipton': 0.44, 'oracle': 0.13, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 100, 'n_target': 100, 'lipton': 0.5, 'oracle': 0.18, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 100, 'n_target': 100, 'lipton': 0.18, 'oracle': 0.18, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 100, 'n_target': 100, 'lipton': 0.12, 'oracle': 0.12, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 100, 'n_target': 100, 'lipton': 0.4, 'oracle': 0.17, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 100, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.1, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 100, 'n_target': 100, 'lipton': 0.44, 'oracle': 0.16, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 100, 'n_target': 100, 'lipton': 0.44, 'oracle': 0.14, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 100, 'n_target': 100, 'lipton': 0.4, 'oracle': 0.15, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 100, 'n_target': 100, 'lipton': 0.46, 'oracle': 0.13, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0178, 'n_source': 100, 'n_target': 100, 'lipton': 0.42, 'oracle': 0.15, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 100, 'n_target': 100, 'lipton': 0.11, 'oracle': 0.11, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 100, 'n_target': 100, 'lipton': 0.16, 'oracle': 0.16, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 100, 'n_target': 100, 'lipton': 0.42, 'oracle': 0.21, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 100, 'n_target': 100, 'lipton': 0.39, 'oracle': 0.16, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 100, 'n_target': 100, 'lipton': 0.45, 'oracle': 0.19, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0156, 'n_source': 100, 'n_target': 100, 'lipton': 0.17, 'oracle': 0.17, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0168, 'n_source': 100, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 100, 'n_target': 100, 'lipton': 0.17, 'oracle': 0.17, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.021, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.14, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 100, 'n_target': 100, 'lipton': 0.52, 'oracle': 0.13, 'iter': 88}
