{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2385, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 1.2589473684210524, 'oracle': 0.36, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.239, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.18, 'oracle': 0.27, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2425, 'n_source': 25, 'n_target': 100, 'lipton': 0.29, 'prop-target': 1.218297872340426, 'oracle': 0.3, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2297, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'prop-target': 0.6624444444444444, 'oracle': 0.27, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2352, 'n_source': 25, 'n_target': 100, 'lipton': 0.69, 'prop-target': 0.4685148514851485, 'oracle': 0.27, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'prop-target': 0.18000000000000016, 'oracle': 0.28, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2314, 'n_source': 25, 'n_target': 100, 'lipton': 0.38, 'prop-target': 0.830188679245283, 'oracle': 0.38, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2416, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.5357142857142858, 'oracle': 0.31, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2444, 'n_source': 25, 'n_target': 100, 'lipton': 0.76, 'prop-target': 0.17963636363636365, 'oracle': 0.29, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2372, 'n_source': 25, 'n_target': 100, 'lipton': 0.71, 'prop-target': 0.41506493506493514, 'oracle': 0.28, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2388, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.7471028037383177, 'oracle': 0.33, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2357, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.5376744186046511, 'oracle': 0.34, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 25, 'n_target': 100, 'lipton': 0.64, 'prop-target': 0.36000000000000015, 'oracle': 0.32, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2389, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.6164102564102565, 'oracle': 0.33, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2386, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'prop-target': 1.792, 'oracle': 0.2, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2379, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.8772727272727274, 'oracle': 0.26, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2408, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.5635714285714287, 'oracle': 0.31, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2388, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.7428571428571428, 'oracle': 0.35, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2384, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.5090909090909091, 'oracle': 0.29, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2421, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5084444444444444, 'oracle': 0.32, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2405, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 31.2400000000002, 'oracle': 0.34, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2329, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'prop-target': 0.7482222222222222, 'oracle': 0.2, 'iter': 27}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2318, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.5015189873417721, 'oracle': 0.27, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2324, 'n_source': 25, 'n_target': 100, 'lipton': 0.39, 'prop-target': 1.8200000000000003, 'oracle': 0.4, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2355, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.6727272727272728, 'oracle': 0.34, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2385, 'n_source': 25, 'n_target': 100, 'lipton': 0.22, 'prop-target': 0.5691428571428572, 'oracle': 0.2, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2409, 'n_source': 25, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.34253164556962024, 'oracle': 0.33, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2312, 'n_source': 25, 'n_target': 100, 'lipton': 0.68, 'prop-target': 0.30000000000000054, 'oracle': 0.36, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2298, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.7376744186046511, 'oracle': 0.3, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2274, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.5924752475247526, 'oracle': 0.3, 'iter': 24}
