{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 25, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.76, 'oracle': 0.1775, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 25, 'n_target': 100, 'lipton': 0.18, 'prop-target': 0.71, 'oracle': 0.18, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 25, 'n_target': 100, 'lipton': 0.17, 'prop-target': 0.74, 'oracle': 0.17, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 25, 'n_target': 100, 'lipton': 0.1575, 'prop-target': 0.65, 'oracle': 0.1575, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0153, 'n_source': 25, 'n_target': 100, 'lipton': 0.1675, 'prop-target': 0.69, 'oracle': 0.1675, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 25, 'n_target': 100, 'lipton': 0.1725, 'prop-target': 0.77, 'oracle': 0.1725, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 25, 'n_target': 100, 'lipton': 0.1725, 'prop-target': 0.8, 'oracle': 0.1725, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0198, 'n_source': 25, 'n_target': 100, 'lipton': 0.215, 'prop-target': 0.72, 'oracle': 0.215, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0168, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'prop-target': 0.74, 'oracle': 0.23, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 25, 'n_target': 100, 'lipton': 0.22, 'prop-target': 0.7800000000000001, 'oracle': 0.22, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 25, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.7800000000000001, 'oracle': 0.1875, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 25, 'n_target': 100, 'lipton': 0.16, 'prop-target': 0.68, 'oracle': 0.16, 'iter': 41}
