{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 4, 'n_target': 50, 'lipton': 0.2675, 'prop-target': 0.8, 'oracle': 0.2675, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 4, 'n_target': 50, 'lipton': 0.23, 'prop-target': 0.8, 'oracle': 0.23, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 4, 'n_target': 50, 'lipton': 0.1975, 'prop-target': 0.9, 'oracle': 0.1975, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 4, 'n_target': 50, 'lipton': 0.2475, 'prop-target': 0.84, 'oracle': 0.2475, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 4, 'n_target': 50, 'lipton': 0.1825, 'prop-target': 0.74, 'oracle': 0.1825, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0034, 'n_source': 4, 'n_target': 50, 'lipton': 0.2375, 'prop-target': 0.76, 'oracle': 0.6225, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 4, 'n_target': 50, 'lipton': 0.1975, 'prop-target': 0.72, 'oracle': 0.5775, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 4, 'n_target': 50, 'lipton': 0.2225, 'prop-target': 0.78, 'oracle': 0.565, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 4, 'n_target': 50, 'lipton': 0.2175, 'prop-target': 0.74, 'oracle': 0.2175, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 4, 'n_target': 50, 'lipton': 0.1975, 'prop-target': 0.76, 'oracle': 0.1975, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 4, 'n_target': 50, 'lipton': 0.1875, 'prop-target': 0.8, 'oracle': 0.1875, 'iter': 52}
