{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.017, 'n_source': 100, 'n_target': 100, 'classical': 0.12, 'labeled': 0.12, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 100, 'n_target': 100, 'classical': 0.19, 'labeled': 0.16, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 100, 'n_target': 100, 'classical': 0.18, 'labeled': 0.15, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 100, 'n_target': 100, 'classical': 0.19, 'labeled': 0.16, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 100, 'n_target': 100, 'classical': 0.22, 'labeled': 0.18, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 100, 'n_target': 100, 'classical': 0.14, 'labeled': 0.11, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 100, 'n_target': 100, 'classical': 0.22, 'labeled': 0.19, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 100, 'n_target': 100, 'classical': 0.1, 'labeled': 0.07, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0173, 'n_source': 100, 'n_target': 100, 'classical': 0.13, 'labeled': 0.1, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0227, 'n_source': 100, 'n_target': 100, 'classical': 0.14, 'labeled': 0.08, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 100, 'n_target': 100, 'classical': 0.19, 'labeled': 0.15, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 100, 'n_target': 100, 'classical': 0.22, 'labeled': 0.14, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0182, 'n_source': 100, 'n_target': 100, 'classical': 0.24, 'labeled': 0.18, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 100, 'n_target': 100, 'classical': 0.21, 'labeled': 0.2, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0167, 'n_source': 100, 'n_target': 100, 'classical': 0.2, 'labeled': 0.15, 'iter': 19}
