{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0561, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'prop-target': -0.36, 'oracle': 0.38, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0556, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.6562500000000002, 'oracle': 0.33, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0522, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.2987234042553192, 'oracle': 0.37, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0567, 'n_source': 25, 'n_target': 100, 'lipton': 0.6, 'prop-target': 0.3966412213740458, 'oracle': 0.34, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0542, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.8990384615384616, 'oracle': 0.31, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0553, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.8021739130434784, 'oracle': 0.34, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0531, 'n_source': 25, 'n_target': 100, 'lipton': 0.28, 'prop-target': 0.5925581395348837, 'oracle': 0.28, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.057, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'prop-target': 1.0399999999999998, 'oracle': 0.26, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0577, 'n_source': 25, 'n_target': 100, 'lipton': 0.42, 'prop-target': 0.6, 'oracle': 0.39, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.057, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'prop-target': 0.5739130434782609, 'oracle': 0.26, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0577, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.7805769230769232, 'oracle': 0.32, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0612, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'prop-target': 0.3581132075471698, 'oracle': 0.32, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0529, 'n_source': 25, 'n_target': 100, 'lipton': 0.48, 'prop-target': 0.421132075471698, 'oracle': 0.36, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0537, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.8186666666666667, 'oracle': 0.33, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0533, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.5288888888888886, 'oracle': 0.34, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0561, 'n_source': 25, 'n_target': 100, 'lipton': 0.22, 'prop-target': 1.1781818181818189, 'oracle': 0.22, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.056, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.8030769230769232, 'oracle': 0.37, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0554, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.4260869565217392, 'oracle': 0.38, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0536, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.5955555555555556, 'oracle': 0.32, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.056, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.8076923076923077, 'oracle': 0.26, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0508, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.8262650602409638, 'oracle': 0.27, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0552, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'prop-target': 0.7985714285714286, 'oracle': 0.2, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0558, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.7482222222222222, 'oracle': 0.37, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0592, 'n_source': 25, 'n_target': 100, 'lipton': 0.24, 'prop-target': 0.6271698113207547, 'oracle': 0.23, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0563, 'n_source': 25, 'n_target': 100, 'lipton': 0.58, 'prop-target': 0.41932584269662926, 'oracle': 0.58, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0594, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.6705343511450382, 'oracle': 0.3, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0558, 'n_source': 25, 'n_target': 100, 'lipton': 0.64, 'prop-target': 0.37205882352941166, 'oracle': 0.38, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0562, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.6524528301886792, 'oracle': 0.26, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0534, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.6262365591397852, 'oracle': 0.24, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0584, 'n_source': 25, 'n_target': 100, 'lipton': 0.24, 'prop-target': 0.9834999999999998, 'oracle': 0.25, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0574, 'n_source': 25, 'n_target': 100, 'lipton': 0.71, 'prop-target': -0.1581818181818181, 'oracle': 0.34, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0539, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'prop-target': 0.8680000000000001, 'oracle': 0.23, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0553, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'prop-target': -0.5052631578947364, 'oracle': 0.39, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0565, 'n_source': 25, 'n_target': 100, 'lipton': 0.24, 'prop-target': 1.2999999999999998, 'oracle': 0.24, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0543, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'prop-target': 0.7969230769230774, 'oracle': 0.27, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0581, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.5200000000000001, 'oracle': 0.37, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0565, 'n_source': 25, 'n_target': 100, 'lipton': 0.38, 'prop-target': 0.5374683544303797, 'oracle': 0.36, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0548, 'n_source': 25, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.34782608695652184, 'oracle': 0.35, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0528, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5390243902439025, 'oracle': 0.33, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0558, 'n_source': 25, 'n_target': 100, 'lipton': 0.39, 'prop-target': 0.5714285714285714, 'oracle': 0.39, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0526, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 2.7500000000000004, 'oracle': 0.33, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.051, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.7585714285714283, 'oracle': 0.33, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0564, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.7985714285714286, 'oracle': 0.36, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0562, 'n_source': 25, 'n_target': 100, 'lipton': 0.74, 'prop-target': 0.41855072463768134, 'oracle': 0.31, 'iter': 42}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0533, 'n_source': 25, 'n_target': 100, 'lipton': 0.58, 'prop-target': 0.4231111111111112, 'oracle': 0.3, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.054, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.26604651162790693, 'oracle': 0.28, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0477, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5703225806451612, 'oracle': 0.3, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0547, 'n_source': 25, 'n_target': 100, 'lipton': 0.42, 'prop-target': 0.8400000000000001, 'oracle': 0.44, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0596, 'n_source': 25, 'n_target': 100, 'lipton': 0.4, 'prop-target': 0.5514893617021277, 'oracle': 0.39, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0538, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.4338461538461537, 'oracle': 0.35, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0508, 'n_source': 25, 'n_target': 100, 'lipton': 0.29, 'prop-target': 0.8635000000000002, 'oracle': 0.3, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0526, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.7478048780487804, 'oracle': 0.26, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0564, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'prop-target': 0.44, 'oracle': 0.36, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.053, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5600000000000003, 'oracle': 0.32, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0551, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.3452307692307691, 'oracle': 0.31, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0565, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.6214285714285713, 'oracle': 0.36, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0531, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.7896296296296297, 'oracle': 0.25, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.055, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.38823529411764707, 'oracle': 0.35, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0544, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.6295384615384614, 'oracle': 0.35, 'iter': 32}
