{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.069, 'n_source': 640, 'n_target': 40, 'labeled': True, 'classical': 0.29, 'supervised': 0.15, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 61, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0652, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.6, 'prop-target-estimate': 0.06551577102286643, 'oracle': 0.25, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0675, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.59, 'prop-target-estimate': 0.026697001987155484, 'oracle': 0.24, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0699, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.57, 'prop-target-estimate': 0.024813066299152562, 'oracle': 0.32, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0668, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.61, 'prop-target-estimate': 0.017082235064913805, 'oracle': 0.23, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.068, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.7, 'prop-target-estimate': 0.03349453698728282, 'oracle': 0.23, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0683, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.58, 'prop-target-estimate': 0.05902831538507348, 'oracle': 0.27, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0663, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.59, 'prop-target-estimate': 0.06269446701184689, 'oracle': 0.24, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0625, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.72, 'prop-target-estimate': 0.019414437065422833, 'oracle': 0.31, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0633, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.7, 'prop-target-estimate': 0.04735502789059472, 'oracle': 0.22, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0715, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.69, 'prop-target-estimate': 0.011037426837781236, 'oracle': 0.29, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0687, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.75, 'prop-target-estimate': 0.055481181474640325, 'oracle': 0.3, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.071, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.69, 'prop-target-estimate': 0.06533994430482917, 'oracle': 0.29, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0685, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.64, 'prop-target-estimate': 0.09798534798534801, 'oracle': 0.29, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0715, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.63, 'prop-target-estimate': 0.059274605517084814, 'oracle': 0.25, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.071, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.77, 'prop-target-estimate': 0.027705175117616304, 'oracle': 0.25, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.069, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.65, 'prop-target-estimate': 0.0729801456058605, 'oracle': 0.26, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0644, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.75, 'prop-target-estimate': 0.02068236000392526, 'oracle': 0.36, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0681, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.68, 'prop-target-estimate': 0.036790251819542, 'oracle': 0.28, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0692, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.76, 'prop-target-estimate': 0.021665623043206007, 'oracle': 0.41, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0665, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.7, 'prop-target-estimate': 0.05484982447015992, 'oracle': 0.32, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0668, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.64, 'prop-target-estimate': 0.06181592757049766, 'oracle': 0.3, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0706, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.68, 'prop-target-estimate': 0.0315811394891945, 'oracle': 0.3, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0652, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.7, 'prop-target-estimate': 0.04625610708651769, 'oracle': 0.2, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0697, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.77, 'prop-target-estimate': 0.022566820387763472, 'oracle': 0.38, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.069, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.74, 'prop-target-estimate': 0.02010988417613866, 'oracle': 0.39, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0611, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.69, 'prop-target-estimate': 0.0183706192112197, 'oracle': 0.26, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0696, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.63, 'prop-target-estimate': 0.07725621904707689, 'oracle': 0.25, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0674, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.62, 'prop-target-estimate': 0.07174045908166204, 'oracle': 0.38, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0658, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.74, 'prop-target-estimate': 0.021800123979193054, 'oracle': 0.32, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
