{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0636, 'n_source': 640, 'n_target': 40, 'labeled': True, 'classical': 0.27, 'supervised': 0.19, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 61, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0637, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.57, 'prop-target-estimate': 0.09815057712486884, 'oracle': 0.23, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0713, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.56, 'prop-target-estimate': 0.1618801652892562, 'oracle': 0.29, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0701, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.56, 'prop-target-estimate': 0.18099635796045785, 'oracle': 0.17, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0613, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.57, 'prop-target-estimate': 0.12573529411764706, 'oracle': 0.29, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0691, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.55, 'prop-target-estimate': 0.16908203125000001, 'oracle': 0.24, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0684, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.62, 'prop-target-estimate': 0.14466475474683543, 'oracle': 0.16, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.072, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.55, 'prop-target-estimate': 0.1741622340425532, 'oracle': 0.14, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0677, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.4, 'prop-target-estimate': 0.2502882599580713, 'oracle': 0.11, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0645, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.61, 'prop-target-estimate': 0.1328847163865546, 'oracle': 0.22, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0687, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.5, 'prop-target-estimate': 0.18175339958158995, 'oracle': 0.19, 'classical': 'nan', 'supervised': 'nan', 'iter': 21, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0644, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.62, 'prop-target-estimate': 0.1358117816091954, 'oracle': 0.26, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0644, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.6, 'prop-target-estimate': 0.16935376857749468, 'oracle': 0.17, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0671, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.54, 'prop-target-estimate': 0.2431243414120126, 'oracle': 0.19, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0693, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.6, 'prop-target-estimate': 0.1829289087093389, 'oracle': 0.23, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0682, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.6, 'prop-target-estimate': 0.177978515625, 'oracle': 0.21, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0674, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.56, 'prop-target-estimate': 0.1512965425531915, 'oracle': 0.1, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0706, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.64, 'prop-target-estimate': 0.1713519667370644, 'oracle': 0.24, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0656, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.59, 'prop-target-estimate': 0.11215897166841554, 'oracle': 0.22, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.067, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.55, 'prop-target-estimate': 0.1646046252620545, 'oracle': 0.24, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0691, 'n_source': 1000, 'n_target': 640, 'labeled': False, 'lipton': 0.69, 'prop-target-estimate': 0.12740837696335078, 'oracle': 0.22, 'classical': 'nan', 'supervised': 'nan', 'iter': 79, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.07, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.55, 'prop-target-estimate': 0.20904503105590064, 'oracle': 0.17, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0659, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.51, 'prop-target-estimate': 0.24409246575342466, 'oracle': 0.15, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0702, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.5, 'prop-target-estimate': 0.2037447257383966, 'oracle': 0.19, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0696, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.55, 'prop-target-estimate': 0.2255643267223382, 'oracle': 0.13, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0672, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.59, 'prop-target-estimate': 0.18624201277955277, 'oracle': 0.17, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0651, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.52, 'prop-target-estimate': 0.17162459935897437, 'oracle': 0.23, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0686, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.62, 'prop-target-estimate': 0.20024636929460576, 'oracle': 0.15, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0704, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.56, 'prop-target-estimate': 0.10935517970401692, 'oracle': 0.16, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0695, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.63, 'prop-target-estimate': 0.09637953367875644, 'oracle': 0.23, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0683, 'n_source': 1000, 'n_target': 320, 'labeled': False, 'lipton': 0.68, 'prop-target-estimate': 0.14532912234042553, 'oracle': 0.28, 'classical': 'nan', 'supervised': 'nan', 'iter': 54, 'setup': 'dec-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0698, 'n_source': 6240, 'n_target': 40, 'labeled': True, 'classical': 0.32, 'supervised': 0.22, 'lipton': 'nan', 'oracle': 'nan', 'prop-target-estimate': 'nan', 'iter': 74, 'setup': 'dec-prop-source'}
