{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.28, 'prop-target-estimate': 1.0, 'oracle': 0.28, 'classical': nan, 'supervised': nan, 'iter': 39, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 8, 'n_target': 50, 'labeled': False, 'lipton': 0.28, 'prop-target-estimate': 0.76, 'oracle': 0.28, 'classical': nan, 'supervised': nan, 'iter': 25, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 150, 'n_target': 50, 'labeled': False, 'lipton': 0.0675, 'prop-target-estimate': 0.84, 'oracle': 0.0675, 'classical': nan, 'supervised': nan, 'iter': 61, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0033, 'n_source': 50, 'n_target': 32, 'labeled': False, 'lipton': 0.2925, 'prop-target-estimate': 0.71875, 'oracle': 0.2925, 'classical': nan, 'supervised': nan, 'iter': 20, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0036, 'n_source': 16, 'n_target': 50, 'labeled': False, 'lipton': 0.29, 'prop-target-estimate': 0.78, 'oracle': 0.29, 'classical': nan, 'supervised': nan, 'iter': 2, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0051, 'n_source': 50, 'n_target': 512, 'labeled': False, 'lipton': 0.18, 'prop-target-estimate': 0.75, 'oracle': 0.18, 'classical': nan, 'supervised': nan, 'iter': 27, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 50, 'n_target': 128, 'labeled': False, 'lipton': 0.145, 'prop-target-estimate': 0.6875, 'oracle': 0.145, 'classical': nan, 'supervised': nan, 'iter': 21, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.003, 'n_source': 50, 'n_target': 128, 'labeled': False, 'lipton': 0.0825, 'prop-target-estimate': 0.6640625, 'oracle': 0.0825, 'classical': nan, 'supervised': nan, 'iter': 79, 'setup': 'constant-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 8, 'labeled': False, 'lipton': 0.3675, 'prop-target-estimate': 0.75, 'oracle': 0.3675, 'classical': nan, 'supervised': nan, 'iter': 69, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 50, 'n_target': 16, 'labeled': False, 'lipton': 0.375, 'prop-target-estimate': 0.75, 'oracle': 0.375, 'classical': nan, 'supervised': nan, 'iter': 50, 'setup': 'decreasing-prop-source'}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 6350, 'n_target': 50, 'labeled': True, 'classical': 0.085, 'supervised': 0.0, 'lipton': nan, 'oracle': nan, 'prop-target-estimate': nan, 'iter': 40, 'setup': 'decreasing-prop-source'}
